LOC;YEAR;TRIAL;SEQ;PLOT;DESIGN;GENERATION;DNAID;REP;BLOC;FL;PH;YLD;ZN;Experimental_Group
PAL;2017;PA17B;0061;GSCT17B0061;PCT27:0:0:3>1858-M;S02;1858;1;B;93;106;529.6726047;15.2;PCT27
PAL;2017;PA17B;0062;GSCT17B0062;PCT27:0:0:3>1137-M;S02;1137;1;B;92;124;616.6293023;16.1;PCT27
PAL;2017;PA17B;0063;GSCT17B0063;L23;LINE;L23;1;B;78;113.8;348.6850233;13.8;SC
PAL;2017;PA17B;0064;GSCT17B0064;PCT27:0:0:3>2379-M;S02;2379;1;B;89;123.6;495.2618023;12.4;PCT27
PAL;2017;PA17B;0065;GSCT17B0065;PCT27:0:0:3>1304-M;S02;1304;1;B;82;134.6;622.5349535;15.2;TC
PAL;2017;PA17B;0066;GSCT17B0066;PCT27:0:0:3>1203-M;S02;1203;1;B;91;140.4;473.3487907;15.4;TC
PAL;2017;PA17B;0067;GSCT17B0067;PCT27:0:0:3>1246-M;S02;1246;1;B;84;131.2;560.9727907;12.1;PCT27
PAL;2017;PA17B;0068;GSCT17B0068;PCT27:0:0:3>1152-M;S02;1152;1;B;84;127.4;801.5482558;10.4;PCT27
PAL;2017;PA17B;0069;GSCT17B0069;PCT27:0:0:3>2440-M;S02;2440;1;B;80;130.6;608.8093023;14.3;PCT27
PAL;2017;PA17B;0070;GSCT17B0070;PCT27:0:0:3>2060-M;S02;2060;1;B;76;107.2;570.2012791;15.5;PCT27
PAL;2017;PA17B;0071;GSCT17B0071;PCT27:0:0:3>1344-M;S02;1344;1;B;92;111.6;447.5379767;13.2;PCT27
PAL;2017;PA17B;0072;GSCT17B0072;PCT27:0:0:3>1070-M;S02;1070;1;B;92;112.6;539.0215814;16.9;PCT27
PAL;2017;PA17B;0073;GSCT17B0073;PCT27:0:0:3>2565-M;S02;2565;1;B;92;112.2;875.1032326;13.7;PCT27
PAL;2017;PA17B;0074;GSCT17B0074;PCT27:0:0:3>1683-M;S02;1683;1;B;83;125.4;845.1555814;14.7;TC
PAL;2017;PA17B;0075;GSCT17B0075;PCT27:0:0:3>1942-M;S02;1942;1;B;88;133;556.8043953;14.6;PCT27
PAL;2017;PA17B;0076;GSCT17B0076;PCT27:0:0:3>1418-M;S02;1418;1;B;88;132;600.0207907;16.1;PCT27
PAL;2017;PA17B;0077;GSCT17B0077;PCT27:0:0:3>1106-M;S02;1106;1;B;88;142.2;397.7577209;15.6;PCT27
PAL;2017;PA17B;0078;GSCT17B0078;PCT27:0:0:3>1644-M;S02;1644;1;B;88;129.4;958.1967209;16.7;PCT27
PAL;2017;PA17B;0079;GSCT17B0079;PCT27:0:0:3>2573-M;S02;2573;1;B;88;120.8;513.6591279;10.2;PCT27
PAL;2017;PA17B;0080;GSCT17B0080;PCT27:0:0:3>1781-M;S02;1781;1;B;87;117.4;612.9499302;15.1;PCT27
PAL;2017;PA17B;0081;GSCT17B0081;PCT27:0:0:3>2453-M;S02;2453;1;B;88;127;692.1111628;13.8;PCT27
PAL;2017;PA17B;0082;GSCT17B0082;PCT27:0:0:3>1512-M;S02;1512;1;B;84;120.2;671.2523256;15.1;PCT27
PAL;2017;PA17B;0083;GSCT17B0083;PCT27:0:0:3>2292-M;S02;2292;1;B;87;133;581.5319419;12.4;PCT27
PAL;2017;PA17B;0084;GSCT17B0084;PCT27:0:0:3>1698-M;S02;1698;1;B;87;136.6;746.7329302;13.1;PCT27
PAL;2017;PA17B;0085;GSCT17B0085;PCT27:0:0:3>2244-M;S02;2244;1;B;75;129.6;783.4133023;15.2;TC
PAL;2017;PA17B;0086;GSCT17B0086;PCT27:0:0:3>1082-M;S02;1082;1;B;88;142.2;786.1589767;14.1;PCT27
PAL;2017;PA17B;0087;GSCT17B0087;PCT27:0:0:3>1022-M;S02;1022;1;B;87;121;585.2603721;13;PCT27
PAL;2017;PA17B;0088;GSCT17B0088;IR64;LINE;IR64;1;B;87;99.2;1403.229767;12.7;SC
PAL;2017;PA17B;0089;GSCT17B0089;PCT27:0:0:3>1448-M;S02;1448;1;B;88;114.4;826.2891977;15.1;PCT27
PAL;2017;PA17B;0090;GSCT17B0090;PCT27:0:0:3>2147-M;S02;2147;1;B;83;140.6;963.062686;14.9;PCT27
PAL;2017;PA17B;0091;GSCT17B0091;PCT27:0:0:3>1888-M;S02;1888;1;B;87;110;588.2944884;11.7;PCT27
PAL;2017;PA17B;0092;GSCT17B0092;PCT27:0:0:3>1955-M;S02;1955;1;B;80;120.8;598.5739535;14.5;PCT27
PAL;2017;PA17B;0093;GSCT17B0093;PCT27:0:0:3>1360-M;S02;1360;1;B;80;117.4;811.2082558;14.8;PCT27
PAL;2017;PA17B;0094;GSCT17B0094;PCT27:0:0:3>1250-M;S02;1250;1;B;84;115;583.209;12.3;TC
PAL;2017;PA17B;0095;GSCT17B0095;PCT27:0:0:3>1166-M;S02;1166;1;B;88;111.6;583.3346512;13.6;PCT27
PAL;2017;PA17B;0096;GSCT17B0096;PCT27:0:0:3>2068-M;S02;2068;1;B;87;124.8;624.2659186;12.5;PCT27
PAL;2017;PA17B;0097;GSCT17B0097;PCT27:0:0:3>2403-M;S02;2403;1;B;88;131.6;615.8665116;12.2;PCT27
PAL;2017;PA17B;0098;GSCT17B0098;PCT27:0:0:3>1313-M;S02;1313;1;B;93;119;687.0454419;13.6;TC
PAL;2017;PA17B;0099;GSCT17B0099;PCT27:0:0:3>1593-M;S02;1593;1;B;93;134.4;517.4967907;14.1;PCT27
PAL;2017;PA17B;0100;GSCT17B0100;PCT27:0:0:3>1208-M;S02;1208;1;B;93;127;734.1100698;15.6;TC
PAL;2017;PA17B;0101;GSCT17B0101;PCT27:0:0:3>1602-M;S02;1602;1;C;87;115.8;978.1066628;17;PCT27
PAL;2017;PA17B;0102;GSCT17B0102;PCT27:0:0:3>1711-M;S02;1711;1;C;75;125.4;515.3853023;14.9;PCT27
PAL;2017;PA17B;0103;GSCT17B0103;PCT27:0:0:3>1031-M;S02;1031;1;C;87;119;442.045686;15.4;PCT27
PAL;2017;PA17B;0104;GSCT17B0104;PCT27:0:0:3>1785-M;S02;1785;1;C;83;110.8;455.9555581;12.6;PCT27
PAL;2017;PA17B;0105;GSCT17B0105;PCT27:0:0:3>1451-M;S02;1451;1;C;80;121.6;588.0194651;14.6;PCT27
PAL;2017;PA17B;0106;GSCT17B0106;PCT27:0:0:3>1086-M;S02;1086;1;C;82;123.2;431.7140233;15.2;TC
PAL;2017;PA17B;0107;GSCT17B0107;PCT27:0:0:3>2072-M;S02;2072;1;C;90;114.4;283.5077907;12.2;PCT27
PAL;2017;PA17B;0108;GSCT17B0108;PCT27:0:0:3>1652-M;S02;1652;1;C;90;137.8;647.5431977;13.7;PCT27
PAL;2017;PA17B;0109;GSCT17B0109;PCT27:0:0:3>2296-M;S02;2296;1;C;87;117;386.7980233;14.1;PCT27
PAL;2017;PA17B;0110;GSCT17B0110;PCT27:0:0:3>2576-M;S02;2576;1;C;93;125;1060.911628;13.6;PCT27
PAL;2017;PA17B;0111;GSCT17B0111;PCT27:0:0:3>1110-M;S02;1110;1;C;80;115.8;699.304186;14.7;TC
PAL;2017;PA17B;0112;GSCT17B0112;PCT27:0:0:3>1968-M;S02;1968;1;C;88;109;528.7989535;14.2;PCT27
PAL;2017;PA17B;0113;GSCT17B0113;L23;LINE;L23;1;C;75;107.2;385.1978721;13;SC
PAL;2017;PA17B;0114;GSCT17B0114;PCT27:0:0:3>1213-M;S02;1213;1;C;87;108;690.8584884;13.8;PCT27
PAL;2017;PA17B;0115;GSCT17B0115;PCT27:0:0:3>2093-M;S02;2093;1;C;87;117.6;839.7790116;16;PCT27
PAL;2017;PA17B;0116;GSCT17B0116;PCT27:0:0:3>1317-M;S02;1317;1;C;80;112.4;643.5229767;18;PCT27
PAL;2017;PA17B;0117;GSCT17B0117;PCT27:0:0:3>1516-M;S02;1516;1;C;88;118;654.0255814;12.6;PCT27
PAL;2017;PA17B;0118;GSCT17B0118;PCT27:0:0:3>1425-M;S02;1425;1;C;88;117.4;708.1275;15;PCT27
PAL;2017;PA17B;0119;GSCT17B0119;PCT27:0:0:3>1363-M;S02;1363;1;C;84;134.6;852.5985349;14.3;PCT27
PAL;2017;PA17B;0120;GSCT17B0120;PCT27:0:0:3>2461-M;S02;2461;1;C;88;133.4;769.4273372;13.1;PCT27
PAL;2017;PA17B;0121;GSCT17B0121;PCT27:0:0:3>2318-M;S02;2318;1;C;87;130.2;688.694186;16.1;PCT27
PAL;2017;PA17B;0122;GSCT17B0122;PCT27:0:0:3>1169-M;S02;1169;1;C;88;131.2;645.8720233;12.6;PCT27
PAL;2017;PA17B;0123;GSCT17B0123;PCT27:0:0:3>1263-M;S02;1263;1;C;95;132.2;795.5573605;15.9;PCT27
PAL;2017;PA17B;0124;GSCT17B0124;PCT27:0:0:3>1897-M;S02;1897;1;C;88;129.4;366.2481395;13.9;PCT27
PAL;2017;PA17B;0125;GSCT17B0125;PCT27:0:0:3>2249-M;S02;2249;1;C;93;124.2;411.2260465;14.4;PCT27
PAL;2017;PA17B;0126;GSCT17B0126;PCT27:0:0:3>2310-M;S02;2310;1;C;83;127.2;614.232;13;PCT27
PAL;2017;PA17B;0127;GSCT17B0127;PCT27:0:0:3>1385-M;S02;1385;1;C;88;134.2;734.2798372;15.7;TC
PAL;2017;PA17B;0128;GSCT17B0128;PCT27:0:0:3>1795-M;S02;1795;1;C;87;127.2;796.8012093;12.7;PCT27
PAL;2017;PA17B;0129;GSCT17B0129;PCT27:0:0:3>1615-M;S02;1615;1;C;87;135.2;573.308093;11.6;PCT27
PAL;2017;PA17B;0130;GSCT17B0130;PCT27:0:0:3>1989-M;S02;1989;1;C;88;132.6;443.8220698;17.4;PCT27
PAL;2017;PA17B;0131;GSCT17B0131;PCT27:0:0:3>2101-M;S02;2101;1;C;83;115.2;822.4759884;16.8;PCT27
PAL;2017;PA17B;0132;GSCT17B0132;PCT27:0:0:3>2481-M;S02;2481;1;C;88;136;603.295814;16;PCT27
PAL;2017;PA17B;0133;GSCT17B0133;PCT27:0:0:3>1044-M;S02;1044;1;C;90;134.6;678.8730116;15.1;TC
PAL;2017;PA17B;0134;GSCT17B0134;PCT27:0:0:3>1924-M;S02;1924;1;C;87;124.6;539.6738488;17;PCT27
PAL;2017;PA17B;0135;GSCT17B0135;PCT27:0:0:3>1520-M;S02;1520;1;C;87;115.8;623.6040698;15.3;PCT27
PAL;2017;PA17B;0136;GSCT17B0136;PCT27:0:0:3>1220-M;S02;1220;1;C;95;109.6;583.5222326;14.4;PCT27
PAL;2017;PA17B;0137;GSCT17B0137;PCT27:0:0:3>1120-M;S02;1120;1;C;89;121;424.2390698;14.2;PCT27
PAL;2017;PA17B;0138;GSCT17B0138;IR64;LINE;IR64;1;C;90;93;1389.341605;12.6;SC
PAL;2017;PA17B;0139;GSCT17B0139;PCT27:0:0:3>2173-M;S02;2173;1;C;87;137;700.412093;16.2;PCT27
PAL;2017;PA17B;0140;GSCT17B0140;PCT27:0:0:3>1483-M;S02;1483;1;C;93;119.8;534.1762791;14.8;PCT27
PAL;2017;PA17B;0141;GSCT17B0141;PCT27:0:0:3>1748-M;S02;1748;1;C;88;138;727.2934884;14.1;PCT27
PAL;2017;PA17B;0142;GSCT17B0142;PCT27:0:0:3>1663-M;S02;1663;1;C;95;128;771.0340465;15.7;PCT27
PAL;2017;PA17B;0143;GSCT17B0143;PCT27:0:0:3>1096-M;S02;1096;1;C;95;113.6;633.7936047;14.6;TC
PAL;2017;PA17B;0144;GSCT17B0144;PCT27:0:0:3>1275-M;S02;1275;1;C;95;122.6;379.9381395;16.9;TC
PAL;2017;PA17B;0145;GSCT17B0145;PCT27:0:0:3>1175-M;S02;1175;1;C;88;115.2;703.0512209;15.6;TC
PAL;2017;PA17B;0146;GSCT17B0146;PCT27:0:0:3>2345-M;S02;2345;1;C;90;125.2;415.6796512;14.4;PCT27
PAL;2017;PA17B;0147;GSCT17B0147;PCT27:0:0:3>2489-M;S02;2489;1;C;86;132.6;759.3513023;14.6;PCT27
PAL;2017;PA17B;0148;GSCT17B0148;PCT27:0:0:3>1331-M;S02;1331;1;C;83;127.4;528.4825814;12.9;PCT27
PAL;2017;PA17B;0149;GSCT17B0149;PCT27:0:0:3>1369-M;S02;1369;1;C;88;119.6;572.869186;13.5;PCT27
PAL;2017;PA17B;0150;GSCT17B0150;PCT27:0:0:3>2082-M;S02;2082;1;C;83;141;589.5979767;16.2;PCT27
PAL;2017;PA17B;0151;GSCT17B0151;PCT27:0:0:3>1782-M;S02;1782;1;D;93;144;622.0206279;14.7;PCT27
PAL;2017;PA17B;0152;GSCT17B0152;PCT27:0:0:3>1210-M;S02;1210;1;D;93;136.4;622.3810233;17.3;PCT27
PAL;2017;PA17B;0153;GSCT17B0153;PCT27:0:0:3>2071-M;S02;2071;1;D;82;117;558.5822791;14.4;PCT27
PAL;2017;PA17B;0154;GSCT17B0154;PCT27:0:0:3>1514-M;S02;1514;1;D;83;103.4;568.652907;14.4;PCT27
PAL;2017;PA17B;0155;GSCT17B0155;PCT27:0:0:3>1965-M;S02;1965;1;D;88;120.6;692.6732093;13.7;PCT27
PAL;2017;PA17B;0156;GSCT17B0156;PCT27:0:0:3>2575-M;S02;2575;1;D;88;130.2;619.1813023;11.9;PCT27
PAL;2017;PA17B;0157;GSCT17B0157;PCT27:0:0:3>1362-M;S02;1362;1;D;93;104.6;375.8162442;14;PCT27
PAL;2017;PA17B;0158;GSCT17B0158;PCT27:0:0:3>2458-M;S02;2458;1;D;88;121;713.4375349;17.1;PCT27
PAL;2017;PA17B;0159;GSCT17B0159;PCT27:0:0:3>1597-M;S02;1597;1;D;88;129.4;846.2578605;18.2;PCT27
PAL;2017;PA17B;0160;GSCT17B0160;PCT27:0:0:3>2245-M;S02;2245;1;D;95;118.6;467.8013721;15.3;PCT27
PAL;2017;PA17B;0161;GSCT17B0161;PCT27:0:0:3>2150-M;S02;2150;1;D;87;131;841.694314;18.2;PCT27
PAL;2017;PA17B;0162;GSCT17B0162;PCT27:0:0:3>2293-M;S02;2293;1;D;88;128.6;783.0497093;16.1;PCT27
PAL;2017;PA17B;0163;GSCT17B0163;L23;LINE;L23;1;D;80;115.6;567.2218837;12.1;SC
PAL;2017;PA17B;0164;GSCT17B0164;PCT27:0:0:3>1167-M;S02;1167;1;D;86;117.6;729.2811279;15.2;PCT27
PAL;2017;PA17B;0165;GSCT17B0165;PCT27:0:0:3>1449-M;S02;1449;1;D;87;129.6;822.5374884;12.9;PCT27
PAL;2017;PA17B;0166;GSCT17B0166;PCT27:0:0:3>2409-M;S02;2409;1;D;88;124.6;829.036;13.9;PCT27
PAL;2017;PA17B;0167;GSCT17B0167;PCT27:0:0:3>1023-M;S02;1023;1;D;87;131;505.296093;15.8;PCT27
PAL;2017;PA17B;0168;GSCT17B0168;PCT27:0:0:3>1646-M;S02;1646;1;D;88;129.2;617.7808605;14.9;PCT27
PAL;2017;PA17B;0169;GSCT17B0169;PCT27:0:0:3>1889-M;S02;1889;1;D;88;118;648.0742209;14.7;PCT27
PAL;2017;PA17B;0170;GSCT17B0170;PCT27:0:0:3>1316-M;S02;1316;1;D;80;117.8;785.3216512;13.8;PCT27
PAL;2017;PA17B;0171;GSCT17B0171;PCT27:0:0:3>1420-M;S02;1420;1;D;84;120.2;760.977;14.9;PCT27
PAL;2017;PA17B;0172;GSCT17B0172;PCT27:0:0:3>1084-M;S02;1084;1;D;88;109.4;830.1899302;14;TC
PAL;2017;PA17B;0173;GSCT17B0173;PCT27:0:0:3>1704-M;S02;1704;1;D;83;138.8;1029.366279;15.7;PCT27
PAL;2017;PA17B;0174;GSCT17B0174;PCT27:0:0:3>1258-M;S02;1258;1;D;88;117;608.6153023;14.7;TC
PAL;2017;PA17B;0175;GSCT17B0175;PCT27:0:0:3>1109-M;S02;1109;1;D;87;120;738.8198605;14.3;TC
PAL;2017;PA17B;0176;GSCT17B0176;PCT27:0:0:3>1291-M;S02;1291;1;D;87;129.8;883.2817674;12.4;PCT27
PAL;2017;PA17B;0177;GSCT17B0177;PCT27:0:0:3>2553-M;S02;2553;1;D;87;110.8;828.6330698;13.6;PCT27
PAL;2017;PA17B;0178;GSCT17B0178;PCT27:0:0:3>2189-M;S02;2189;1;D;80;143;539.3737209;12.2;PCT27
PAL;2017;PA17B;0179;GSCT17B0179;PCT27:0:0:3>2432-M;S02;2432;1;D;83;132.8;501.6439535;12.7;PCT27
PAL;2017;PA17B;0180;GSCT17B0180;PCT27:0:0:3>1333-M;S02;1333;1;D;75;109.8;663.5535;19.3;TC
PAL;2017;PA17B;0181;GSCT17B0181;PCT27:0:0:3>2267-M;S02;2267;1;D;83;118.2;880.732;11.6;PCT27
PAL;2017;PA17B;0182;GSCT17B0182;PCT27:0:0:3>1674-M;S02;1674;1;D;87;120;855.3223256;12.7;PCT27
PAL;2017;PA17B;0183;GSCT17B0183;PCT27:0:0:3>1534-M;S02;1534;1;D;87;116.6;720.1536628;13.2;PCT27
PAL;2017;PA17B;0184;GSCT17B0184;PCT27:0:0:3>2122-M;S02;2122;1;D;83;115;639.2384651;13.6;PCT27
PAL;2017;PA17B;0185;GSCT17B0185;PCT27:0:0:3>1131-M;S02;1131;1;D;83;121.8;881.7062442;15.7;PCT27
PAL;2017;PA17B;0186;GSCT17B0186;PCT27:0:0:3>2361-M;S02;2361;1;D;80;115.8;721.8684419;12.9;PCT27
PAL;2017;PA17B;0187;GSCT17B0187;PCT27:0:0:3>1811-M;S02;1811;1;D;87;129.2;792.6088605;14;PCT27
PAL;2017;PA17B;0188;GSCT17B0188;IR64;LINE;IR64;1;D;87;98.2;1470.393488;11.6;SC
PAL;2017;PA17B;0189;GSCT17B0189;PCT27:0:0:3>2019-M;S02;2019;1;D;82;113.2;768.5493837;11.4;PCT27
PAL;2017;PA17B;0190;GSCT17B0190;PCT27:0:0:3>1430-M;S02;1430;1;D;83;113;692.7834419;14.1;PCT27
PAL;2017;PA17B;0191;GSCT17B0191;PCT27:0:0:3>1056-M;S02;1056;1;D;89;131.6;789.5215349;15.8;PCT27
PAL;2017;PA17B;0192;GSCT17B0192;PCT27:0:0:3>1006-M;S02;1006;1;D;87;110.6;523.2111744;20.2;TC
PAL;2017;PA17B;0193;GSCT17B0193;PCT27:0:0:3>1555-M;S02;1555;1;D;87;116;799.1751628;14.2;PCT27
PAL;2017;PA17B;0194;GSCT17B0194;PCT27:0:0:3>1148-M;S02;1148;1;D;92;116;699.2375;15.4;PCT27
PAL;2017;PA17B;0195;GSCT17B0195;PCT27:0:0:3>1199-M;S02;1199;1;D;92;120;725.1155233;12.9;PCT27
PAL;2017;PA17B;0196;GSCT17B0196;PCT27:0:0:3>1395-M;S02;1395;1;D;83;120;627.7783605;15.4;TC
PAL;2017;PA17B;0197;GSCT17B0197;PCT27:0:0:3>1676-M;S02;1676;1;D;82;125.2;841.6532093;15.9;PCT27
PAL;2017;PA17B;0198;GSCT17B0198;PCT27:0:0:3>2044-M;S02;2044;1;D;88;141.2;954.2065116;14.7;PCT27
PAL;2017;PA17B;0199;GSCT17B0199;PCT27:0:0:3>1937-M;S02;1937;1;D;88;127;682.4925349;14.4;PCT27
