Genotype,FL,PH,YLD,ZN
1291,87.1526216966137,118.642574769543,370.041687735042,17.9545749250917
1297,86.5077783277378,106.787057243504,341.577631428686,19.2542127640465
1303,90.5005604833157,118.906681968925,377.696666914182,19.2271194591472
1304,81.5635387716543,119.367978291066,330.004443810087,19.3641084517086
1305,90.0105496182332,109.750433283192,294.927965297769,16.2229641822258
1312,87.6118220887037,118.886824318497,411.459162609487,18.5038106156845
1313,90.618293132875,118.856024028511,425.170113091393,18.2358767960054
1316,80.1797663972619,115.484560629891,431.863733363264,16.9471450202127
1317,81.2624374095127,107.418988841467,421.630154204228,19.8333852596625
1321,88.8485155339835,117.806690928054,337.253650797033,18.1462563220597
1324,88.7702264846892,120.418342449139,413.052435519734,19.9692288290115
1331,86.5699359343639,117.588424276343,354.335133137363,17.5152438939579
1333,81.2050094424697,108.689767726767,411.305052771717,21.3937064840658
1336,89.3974044835711,120.789623642473,388.33621652695,17.2909747233297
1341,82.3216513883934,109.986884441412,404.002258957721,18.0012284921868
1344,90.6592202011425,112.969585957118,265.185257246793,19.0475636464921
1353,85.8432179099907,118.722760802332,468.423325714632,17.1038360501859
1360,81.1959256909625,110.427758375274,461.150992672912,18.7142946979031
1362,92.3386672222705,104.88550255903,187.387880036642,18.9713832396961
1363,87.0880065755205,122.062054953246,450.578145811787,20.2164958896996
1364,87.6117118830322,128.593859884277,366.892123997866,18.859292973677
1366,86.9211000610635,110.497629835733,319.375534075242,18.8324985211744
1377,88.4165683991889,125.37844727705,336.314702736584,17.6844577879557
1378,85.5675593498874,121.514117245835,424.947408144332,18.552285555038
1382,88.8814421167504,122.818196126127,398.062023229199,18.6125337499805
1384,87.4207716138603,121.194639203977,421.888458798965,19.3313934113734
1385,89.0605214609943,115.943161821235,444.314883869761,19.9388680006311
1387,87.273295103883,116.020243470124,363.478938035376,19.8265426474337
1389,87.882616130773,122.901899645273,299.20287585706,18.5817007888767
1395,87.7016876693578,120.195472952159,400.655790869151,20.1086229749826
1398,87.6768247377452,116.881484551045,403.500463819959,15.8512595317878
1402,84.7567699717717,119.032601292442,346.032621650079,17.1003870972363
1406,89.7394425357806,119.602333251411,522.802138130513,17.9944485209837
1416,85.6848867895105,114.325705148337,337.308077002206,21.7853045592038
1417,86.2454008733179,107.188436060823,351.347204634061,18.4397241023047
1418,88.2055193453147,115.202403277204,342.75366658484,18.9798334384833
1420,85.0397079582993,112.496433800721,356.747168493097,19.9942349308821
1425,92.9072286377528,118.102911218138,357.941266369827,21.4201908335257
1426,90.6411511000298,121.846806792002,323.270594303263,18.5283037304813
1427,86.5159587083275,114.778231358362,295.887891088389,18.5864541381988
1429,89.2657746150872,113.278841736757,258.660963604081,18.4498243991498
1430,84.6643854663746,109.301399225314,378.835858840436,16.8184535955915
1437,89.5582833157127,109.872421856225,439.165643745494,16.9386535978641
1440,84.4860419260071,109.943372839461,357.365681210947,19.8628706078668
1442,88.9053634511238,96.9006734135666,309.953528306511,16.8708976995089
1448,90.5627781677106,109.007954859867,350.363849986011,19.0274312135398
1449,84.9689930843335,114.6863338174,385.150932787525,17.7700187626873
1451,88.5375060496323,115.279751489061,280.111537235599,19.7999096651813
1455,90.1545178807405,114.932386990747,381.755622573149,16.9925053614526
1481,95.3755625110579,123.94176317037,385.24273944275,19.5266008047915
1483,84.8282690345262,109.63890777641,369.596527791369,18.9500664883191
1489,91.1242426757508,115.290232078285,368.929551081996,17.4981588209813
1501,88.2822457879065,114.28138545775,316.809128187356,17.1072758262498
1509,86.7098670012784,110.812793115823,313.968187015286,16.9185983832473
1512,85.3970285899595,113.984010144867,435.436988096085,19.2358191862177
1516,88.7350046280053,118.777057782314,339.990921001429,16.6754057384483
1517,91.5456110739441,123.663415591159,292.390586349436,23.7037042186446
1518,92.0930941507461,116.928711844772,378.188673018969,16.8127159151837
1519,86.2839252372335,118.771833552235,415.761225320092,20.5039633020475
1520,83.291925376758,116.297242533768,399.448689386647,20.0987027190924
1521,87.9382609526491,110.482382328096,326.611031288146,18.8500669963635
1523,85.1655459511872,116.348465166654,280.282605454512,17.5255651241156
1534,88.1476391553496,120.583357473187,399.669086080348,17.9460143165488
1538,92.3701190284146,108.532457872604,300.011793435264,19.6273666980839
1541,86.1042870574899,118.855293524412,352.075352322296,19.4289755050143
1547,80.9900084242747,109.180715515819,356.02205047974,18.043500955638
1555,93.0771156290928,113.397733240064,334.965161762705,18.6906718617478
1560,86.1249655418923,111.496560680875,403.053415743991,19.4809406858983
1564,91.1847553493569,110.570218298184,305.734107803384,19.4644852598903
1569,92.3125317583472,122.018339167609,263.248726574171,20.0875817030223
1593,89.9450588873854,119.798416514192,348.29893346425,17.643742905159
1597,90.1518067988425,119.827064385483,364.376689996481,20.6106401241404
1602,91.4215425136623,116.398463075142,396.622471780976,19.2615705550947
1608,85.0910745981805,117.958713764723,363.421670583707,22.3656447789058
1612,86.9332163087266,112.918264429698,409.185174619052,18.4738164608871
1615,87.4610075615125,108.725993843075,396.382078680723,18.765192263471
1617,86.3812360061056,126.932368296202,349.474902061078,20.5977895028281
1621,87.2112790366801,110.64306559915,276.231051206696,16.7480396526727
1625,81.017433744905,109.802660251678,260.271072433987,18.7677602746634
1629,91.7227947590904,118.973985121694,368.030775232007,19.1960994128096
1638,86.4768490915913,121.529833584357,302.068500240632,18.3592479485605
1644,87.9004151622729,121.922742434689,445.297666690405,21.8781603165492
1646,89.4617289152772,112.16824795176,350.069591799233,19.6179560476201
1652,91.1313508776326,118.152057989884,378.484644713358,18.4899259326029
1653,86.0276088112473,111.572738287821,375.553997323926,21.969481581674
1654,86.7157558572268,111.231706606619,397.545662890649,18.3033376373804
1658,85.3679614532335,113.870397499636,285.762297375361,15.7691101112811
1663,91.6293620209634,115.409235191466,364.517258750049,19.2006895346941
1668,89.1731778889851,117.805369953131,454.688715135278,18.0483236762888
1671,88.6828765085818,111.200173436791,349.533664707113,15.5213062098674
1672,85.5045211596145,118.316081888802,417.712858878441,19.3226917389314
1674,89.5951866893829,115.984828775202,441.736249700112,19.5878441781907
1675,89.067315771784,108.069597837379,363.589868243872,20.8488929905858
1676,84.7009614762374,115.892285137278,424.528318300363,18.3713025526297
1678,79.7653093674359,106.253863711983,416.497671627495,17.9020045882995
1681,81.1259417448891,110.690215325573,421.052275403443,19.5350867562896
1683,77.9238508281981,112.077866028718,460.933912210027,17.7437537507346
1684,92.6256518070431,114.162321514336,387.371077766091,20.3966773039968
1694,87.6320275603328,110.0014773073,307.037856116803,17.131942451527
1715,82.6537766717845,127.231059668926,325.416021001477,18.9340881992347
1717,91.8903748413185,115.079671620034,305.139445739799,19.929308102322
1728,87.7616711562048,129.580163893064,364.53632890748,19.5519489317613
1748,85.084426050029,120.401414095973,416.578531287393,18.014524539036
1760,86.5280504036089,112.129588727576,361.713547736381,17.8420861399975
1763,84.738533639747,109.858494716324,297.066102766359,19.6848196198703
1764,84.4844969702915,113.869323887716,344.567600571524,16.7591197521114
